TaxonName,RBL,Percent_vert
Leopardus_guigna,1,100
Leopardus_jacobita,1,100
Leopardus_pardalis,1,100
Leopardus_tigrinus,1,100
Leptailurus_serval,1,100
Lontra_canadensis,0.589893,100
Lycaon_pictus,0.72,100
Lynx_canadensis,1,100
Lynx_lynx,1,100
Lynx_pardinus,1,100
Lynx_rufus,1,100
Martes_pennanti,0.7292458,100
Mustela_africana,0.7131902,100
Mustela_altaica,0.7283157,100
Mustela_eversmanii,0.713215,100
Mustela_felipei,0.6597353,100
Mustela_frenata,0.71416535,100
Mustela_kathiah,0.708238874,100
Mustela_nigripes,0.7612878,100
Mustela_nivalis,0.7287199,100
Mustela_nudipes,0.7308952,100
Mustela_sibirica,0.730310201,100
Mustela_strigidorsa,0.6797101,100
Neofelis_diardi,1,100
Neofelis_nebulosa,1,100
Otocolobus_manul,1,100
Panthera_leo,1,100
Panthera_onca,1,100
Panthera_pardus,1,100
Panthera_tigris,1,100
Panthera_uncia,1,100
Pardofelis_marmorata,1,100
Prionailurus_bengalensis,1,100
Prionailurus_planiceps,1,100
Prionailurus_rubiginosus,1,100
Puma_concolor,1,100
Speothos_venaticus,0.637,100
Ursus_maritimus,0.52,100
Vormela_peregusna,0.6576969,100
Vulpes_ferrilata,0.738,100
